185.253.108.0/24,SE,SE-AB,Stockholm,
192.121.153.0/24,NO,NO-03,Oslo,
192.121.236.0/24,DK,DK-84,Copenhagen,
192.121.248.0/24,US,US-TX,Dallas,
192.121.57.0/24,CA,CA-ON,Toronto,
192.121.59.0/24,CA,CA-BC,Vancouver,
192.121.90.0/24,US,US-IL,Chicago,
192.176.228.0/24,US,US-NJ,Jersey City,
192.176.45.0/24,SE,SE-AB,Stockholm,
192.36.107.0/24,SE,SE-AB,Stockholm,
192.36.108.0/24,US,US-CA,Los Angeles,
192.36.235.0/24,US,US-CA,Los Angeles,
192.36.252.0/24,US,US-NJ,Jersey City,
192.71.183.0/24,US,US-VA,Ashburn,
192.71.226.0/24,US,US-TX,Dallas,
192.71.39.0/24,GB,GB-LND,London,
193.180.200.0/24,NO,NO-03,Oslo,
193.181.192.0/24,SE,SE-AB,Stockholm,
193.181.193.0/24,NL,NL-NH,Amsterdam,
193.181.194.0/24,IS,IS-1,Reykjavík,
193.183.145.0/24,US,US-IL,Chicago,
193.183.146.0/24,US,US-TX,Dallas,
193.234.98.0/24,SE,SE-AB,Stockholm,
193.235.1.0/24,SE,SE-AB,Stockholm,
193.235.3.0/24,SE,SE-AB,Stockholm,
193.235.32.0/24,NL,NL-NH,Amsterdam,
194.103.144.0/24,DE,DE-HE,Frankfurt,
194.103.52.0/24,SE,SE-AB,Stockholm,
194.132.29.0/24,US,US-IL,Chicago,
194.132.59.0/24,SE,SE-AB,Stockholm,
194.14.177.0/24,FI,FI-14,Oulu,
194.14.35.0/24,US,US-NJ,Jersey City,
194.14.39.0/24,US,US-CA,Los Angeles,
194.68.161.0/24,SE,SE-AB,Stockholm,
194.68.37.0/24,JP,JP-13,Tokyo,
194.68.38.0/24,JP,JP-27,Osaka,
194.71.111.0/24,SE,SE-AB,Stockholm,
194.71.242.0/24,SE,SE-AB,Stockholm,
194.71.92.0/24,SE,SE-AB,Stockholm,
2a07:1e47:1::/48,JP,JP-27,Osaka,
